ID,Possession Status,Commercial,Developer,Price,sqft Price ,furnished Type,Bathroom,Facing,Transaction Type,Type of Property,City,bedroom,floors,isPrimeLocationProperty,Property Lifespan
12685,Under Construction,N,NA,3150000,4960,Unfurnished,2,East,New Property,Apartment,Thane,1,14,Y,NA
12684,Ready to Move,Y,TATA Housing Development Company Ltd.,6300000,10880,Unfurnished,2,East,New Property,Apartment,Thane,2,34,Y,New Construction
12683,Ready to Move,N,Sai Satyam Developers,5400000,6352,Unfurnished,2,East,New Property,Apartment,Thane,2,18,Y,New Construction
12682,Under Construction,N,Birla Estates,9000000,8571,Unfurnished,2,East,New Property,Apartment,Thane,2,27,Y,NA
12681,Under Construction,Y,Godrej Properties,4950000,8824,Semi-Furnished,2,East,New Property,Apartment,Thane,1,26,Y,NA
12680,Under Construction,N,Tycoons Group,6570000,6157,Unfurnished,2,North - East,New Property,Apartment,Thane,2,18,Y,NA
12679,Ready to Move,N,NA,5500000,7586,Unfurnished,2,East,Resale,Apartment,Thane,2,7,Y,15 to 20 years
12678,Ready to Move,N,NA,4200000,6462,Semi-Furnished,1,East,Resale,Apartment,Thane,1,8,Y,5 to 10 years
12677,Under Construction,N,Godrej Properties,3449000,5826,Unfurnished,1,North - East,New Property,Apartment,Thane,1,22,Y,NA
12676,Ready to Move,N,NA,5000000,7764,Unfurnished,1,West,Resale,Apartment,Thane,1,7,Y,10 to 15 years
12675,Under Construction,N,NA,2990000,5436,Furnished,2,East,New Property,Apartment,Thane,1,30,Y,NA
12674,Under Construction,N,NA,4190000,7618,Semi-Furnished,2,East,New Property,Apartment,Thane,2,30,Y,NA
12673,Ready to Move,Y,Tharwani Infrastructures,4900000,8235,Unfurnished,1,North - East,New Property,Apartment,Thane,1,19,Y,New Construction
12672,Ready to Move,N,NA,2187500,3676,Unfurnished,1,North - East,New Property,Apartment,Thane,1,3,Y,New Construction
12671,Ready to Move,N,Gurukrupa Group,4700000,6763,Unfurnished,1,North - West,Resale,Apartment,Thane,1,18,Y,Less than 5 years
12670,Under Construction,N,NA,10450000,10674,Unfurnished,2,North - East,New Property,Apartment,Thane,3,26,Y,NA
12669,Under Construction,N,NA,12000000,8889,Unfurnished,3,East,New Property,Apartment,Thane,3,36,Y,NA
12668,Under Construction,N,Gurukrupa Group,7000000,7608,Unfurnished,2,North - East,Resale,Apartment,Thane,2,23,Y,NA
12667,Under Construction,N,Rutu Group,7000000,6930,Unfurnished,2,North - East,New Property,Apartment,Thane,2,15,Y,NA
12666,Ready to Move,N,Ajmera Realty & Infra India Ltd.,4800000,6751,Unfurnished,2,North - East,Resale,Apartment,Thane,1,21,Y,Less than 5 years
12665,Under Construction,N,Birla Estates,9500000,9500,Semi-Furnished,2,North - West,New Property,Apartment,Thane,2,38,Y,NA
12664,Under Construction,N,Ajmera Realty & Infra India Ltd.,7499000,12415,Unfurnished,2,North - East,New Property,Apartment,Thane,2,27,Y,NA
12663,Ready to Move,N,Ajmera Realty & Infra India Ltd.,4500000,6666,Unfurnished,2,East,New Property,Apartment,Thane,1,21,Y,NA
12662,Under Construction,N,Godrej Properties,4300000,7288,Unfurnished,2,East,New Property,Apartment,Thane,1,33,Y,NA
12661,Under Construction,N,Tycoons Group,3950000,3000,Furnished,2,East,New Property,Apartment,Thane,1,29,Y,NA
12660,Ready to Move,N,Raunak Group,3600000,5581,Semi-Furnished,2,North - East,New Property,Apartment,Thane,1,30,Y,NA
12659,Ready to Move,N,Vaishnavi Developers,3580000,5508,Unfurnished,1,East,Resale,Apartment,Thane,1,7,Y,New Construction
12658,Under Construction,N,NA,14796000,6850,Unfurnished,3,East,New Property,Apartment,Thane,3,36,Y,NA
12657,Under Construction,Y,NA,4300000,5035,Unfurnished,2,East,New Property,Apartment,Thane,2,14,Y,NA
12656,Under Construction,N,NA,4185500,10899,Unfurnished,2,East,New Property,Apartment,Thane,1,23,Y,NA
12655,Under Construction,N,Tycoons Group,6570000,6157,Unfurnished,2,North - East,New Property,Apartment,Thane,2,18,Y,NA
12654,Ready to Move,N,NA,5500000,7586,Unfurnished,2,East,Resale,Apartment,Thane,2,7,Y,15 to 20 years
12653,Ready to Move,N,NA,4200000,6462,Semi-Furnished,1,East,Resale,Apartment,Thane,1,8,Y,5 to 10 years
12652,Under Construction,N,Godrej Properties,3449000,5826,Unfurnished,1,North - East,New Property,Apartment,Thane,1,22,Y,NA
12651,Ready to Move,N,NA,5000000,7764,Unfurnished,1,West,Resale,Apartment,Thane,1,7,Y,10 to 15 years
12650,Under Construction,N,NA,2990000,5436,Furnished,2,East,New Property,Apartment,Thane,1,30,Y,NA
12649,Under Construction,N,NA,4190000,7618,Semi-Furnished,2,East,New Property,Apartment,Thane,2,30,Y,NA
12648,Ready to Move,Y,Tharwani Infrastructures,4900000,8235,Unfurnished,1,North - East,New Property,Apartment,Thane,1,19,Y,New Construction
12647,Ready to Move,N,NA,2187500,3676,Unfurnished,1,North - East,New Property,Apartment,Thane,1,3,Y,New Construction
12646,Ready to Move,N,Gurukrupa Group,4700000,6763,Unfurnished,1,North - West,Resale,Apartment,Thane,1,18,Y,Less than 5 years
12645,Under Construction,N,NA,10450000,10674,Unfurnished,2,North - East,New Property,Apartment,Thane,3,26,Y,NA
12644,Under Construction,N,NA,12000000,8889,Unfurnished,3,East,New Property,Apartment,Thane,3,36,Y,NA
12643,Under Construction,N,Gurukrupa Group,7000000,7608,Unfurnished,2,North - East,Resale,Apartment,Thane,2,23,Y,NA
12642,Under Construction,N,Rutu Group,7000000,6930,Unfurnished,2,North - East,New Property,Apartment,Thane,2,15,Y,NA
12641,Ready to Move,N,Ajmera Realty & Infra India Ltd.,4800000,6751,Unfurnished,2,North - East,Resale,Apartment,Thane,1,21,Y,Less than 5 years
12640,Under Construction,N,Birla Estates,9500000,9500,Semi-Furnished,2,North - West,New Property,Apartment,Thane,2,38,Y,NA
12639,Under Construction,N,Ajmera Realty & Infra India Ltd.,7499000,12415,Unfurnished,2,North - East,New Property,Apartment,Thane,2,27,Y,NA
12638,Ready to Move,N,Ajmera Realty & Infra India Ltd.,4500000,6666,Unfurnished,2,East,New Property,Apartment,Thane,1,21,Y,NA
12637,Under Construction,N,Godrej Properties,4300000,7288,Unfurnished,2,East,New Property,Apartment,Thane,1,33,Y,NA
12636,Under Construction,N,Tycoons Group,3950000,8012,Furnished,2,East,New Property,Apartment,Thane,1,29,Y,NA
12635,Ready to Move,N,Raunak Group,3600000,5581,Semi-Furnished,2,North - East,New Property,Apartment,Thane,1,30,Y,NA
12634,Ready to Move,N,Vaishnavi Developers,3580000,5508,Unfurnished,1,East,Resale,Apartment,Thane,1,7,Y,New Construction
12633,Under Construction,N,NA,14796000,6850,Unfurnished,3,East,New Property,Apartment,Thane,3,36,Y,NA
12632,Under Construction,Y,NA,4300000,5035,Unfurnished,2,East,New Property,Apartment,Thane,2,14,Y,NA
12631,Under Construction,N,NA,4185500,10899,Unfurnished,2,East,New Property,Apartment,Thane,1,23,Y,NA
12630,Ready to Move,N,NA,2400000,3556,Unfurnished,2,NA,Resale,Apartment,Thane,2,3,Y,NA
12629,Ready to Move,N,NA,2000000,3306,Unfurnished,1,East,Resale,Apartment,Thane,1,3,Y,Less than 5 years
12628,Ready to Move,N,NA,2500000,4032,Furnished,2,NA,Resale,Residential House,Thane,2,3,Y,Less than 5 years
12627,Under Construction,N,Mutha Construction,4000000,5096,Unfurnished,2,NA,Resale,Apartment,Thane,1,4,Y,NA
12626,Ready to Move,N,Ajmera Realty & Infra India Ltd.,5000000,7032,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,21,Y,New Construction
12625,Under Construction,N,Godrej Properties,9500000,14074,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,21,N,NA
12624,Ready to Move,N,Madhav Constructions,6000000,6897,Semi-Furnished,2,South - East,Resale,Apartment,Thane,2,7,N,5 to 10 years
12623,Ready to Move,N,Raunak Group,4000000,6897,Semi-Furnished,1,NA,Resale,Apartment,Thane,1,15,N,NA
12622,Ready to Move,N,Shree Vasturachna Developers,3400000,4359,Unfurnished,2,NA,Resale,Apartment,Thane,2,5,N,NA
12621,Ready to Move,N,NA,4300000,6992,Unfurnished,1,East,Resale,Apartment,Thane,1,7,N,NA
12620,Ready to Move,N,Osho Dhara Developers,7000000,5833,Furnished,2,NA,Resale,Apartment,Thane,2,13,N,NA
12619,Ready to Move,N,Kashish Park Realtors,3500000,7865,Semi-Furnished,1,NA,Resale,Apartment,Thane,1,6,N,NA
12618,Under Construction,N,Mahavir Builders,3000000,4615,Semi-Furnished,1,NA,Resale,Apartment,Thane,1,7,N,NA
12617,Ready to Move,N,Saisatyam Group,4100000,6110,Furnished,1,NA,Resale,Apartment,Thane,1,7,N,NA
12616,Under Construction,N,Mutha Construction,9000000,8295,Unfurnished,2,NA,Resale,Apartment,Thane,2,32,N,NA
12615,Under Construction,N,Godrej Properties,8200000,11901,Unfurnished,2,NA,Resale,Apartment,Thane,1,25,N,NA
12614,Ready to Move,N,Mehta Group,4500000,8257,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,8,N,NA
12613,Ready to Move,N,M S Developers,5600000,6957,Furnished,2,NA,Resale,Residential House,Thane,2,7,N,Less than 5 years
12612,Ready to Move,N,Haware Engineers & Builders Pvt Ltd,2800000,4644,Unfurnished,1,NA,New Property,Apartment,Thane,1,4,N,New Construction
12611,Ready to Move,N,Raunak Group,3500000,5691,Unfurnished,1,NA,Resale,Apartment,Thane,1,22,N,NA
12610,Ready to Move,N,Gurukrupa Group,7000000,7216,Furnished,2,NA,Resale,Apartment,Thane,2,19,N,NA
12609,Ready to Move,N,Charms Group,3900000,5909,Semi-Furnished,1,NA,Resale,Apartment,Thane,1,11,N,NA
12608,Ready to Move,N,Mehta Group,4500000,5882,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,14,N,NA
12607,Ready to Move,N,Honest Developers,5500000,9632,Semi-Furnished,1,NA,Resale,Apartment,Thane,1,8,N,NA
12606,Ready to Move,N,NA,6000000,8000,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,8,Y,NA
12605,Ready to Move,N,Honest Developers,3500000,6986,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,9,Y,New Construction
12604,Ready to Move,N,NA,7000000,7269,Furnished,2,NA,Resale,Apartment,Kalyan,3,3,Y,Above 20 years
12603,Ready to Move,N,Kashish Park Realtors,7800000,7471,Semi-Furnished,2,3,Resale,Apartment,Thane,3,12,Y,NA
12602,Ready to Move,N,Haware Engineers & Builders Pvt Ltd,3500000,5757,Unfurnished,1,3,Resale,Apartment,Thane,1,5,Y,New Construction
12601,Ready to Move,N,M. S. Developers,3700000,4933,Semi-Furnished,1,3,Resale,Apartment,Thane,1,14,Y,Less than 5 years
12600,Ready to Move,N,Haware Engineers & Builders Pvt Ltd,3200000,5307,Unfurnished,1,3,New Property,Apartment,Thane,1,4,Y,New Construction
12599,Under Construction,Y,Tycoons Group,4499000,8676,Unfurnished,2,3,New Property,Apartment,Thane,1,3,Y,NA
12598,Ready to Move,N,Raunak Group,4300000,6719,Semi-Furnished,1,3,Resale,Apartment,Thane,1,22,Y,NA
12597,Ready to Move,N,Nirmal Lifestyle Ltd.,3451500,5900,Semi-Furnished,2,3,New Property,Apartment,Thane,1,15,Y,New Construction
12596,Ready to Move,Y,Raunak Group,4050000,6490,Semi-Furnished,1,East,Resale,Apartment,Thane,1,7,Y,NA
12595,Ready to Move,Y,NA,7400000,7551,Semi-Furnished,2,West,Resale,Apartment,Thane,2,19,N,New Construction
12594,Ready to Move,Y,NA,4800000,4444,Unfurnished,2,East,Resale,Apartment,Thane,2,27,N,5 to 10 years
12593,Under Construction,Y,Godrej Properties,4700000,8741,Unfurnished,1,East,New Property,Apartment,Thane,1,26,Y,NA
12592,Ready to Move,Y,TATA Housing Development Company Ltd.,7999992,6006,Unfurnished,3,North - East,New Property,Apartment,Thane,3,29,Y,New Construction
12591,Ready to Move,N,NA,4700000,5629,Unfurnished,2,West,Resale,Apartment,Thane,2,6,N,NA
12590,Ready to Move,N,Virat Group,3200000,4961,Unfurnished,1,NA,Resale,Apartment,Thane,1,8,N,NA
12589,Ready to Move,N,NA,1700000,5231,Unfurnished,1,NA,Resale,Apartment,Thane,1,4,N,NA
12588,Ready to Move,N,NA,25200000,8690,Furnished,3,East,Resale,Apartment,Thane,5,7,N,5 to 10 years
12587,Ready to Move,N,NA,9500000,10556,Unfurnished,2,NA,Resale,Apartment,Kalyan,2,7,N,NA
12586,Ready to Move,N,Madhav Constructions,4200000,10048,Unfurnished,1,South -West,Resale,Apartment,Thane,1,7,N,NA
12585,Ready to Move,N,NA,4200000,7119,Semi-Furnished,1,NA,Resale,Builder Floor Apartment,Thane,1,5,N,NA
12584,Ready to Move,N,Shankheshwar Group of Companies,4000000,5882,Semi-Furnished,2,NA,Resale,Apartment,Thane,1,8,N,NA
12583,Ready to Move,N,NA,8000000,9091,Unfurnished,2,NA,Resale,Apartment,Thane,2,7,N,10 to 15 years
12582,Ready to Move,N,NA,10000000,8000,Semi-Furnished,2,East,Resale,Apartment,Kalyan,2,15,N,NA
12581,Ready to Move,N,NA,11000000,9244,Furnished,3,NA,Resale,Apartment,Thane,3,5,N,5 to 10 years
12580,Ready to Move,N,NA,6000000,6897,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,7,N,5 to 10 years
12579,Ready to Move,N,NA,5500000,8461,Semi-Furnished,1,East,Resale,Builder Floor Apartment,Thane,2,4,N,Above 20 years
12578,Under Construction,N,Godrej Properties,8200000,13782,Semi-Furnished,2,NA,Resale,Apartment,Thane,2,21,N,NA
12577,Ready to Move,N,NA,2600000,5306,Unfurnished,1,NA,Resale,Apartment,Thane,1,5,N,NA
